id,orders
Prague_1_2024-03-16,10412.698966265467
Prague_1_2024-03-17,10226.292785223337
Prague_1_2024-03-18,9842.551853073835
Prague_1_2024-03-19,9374.352672993453
Prague_1_2024-03-20,9247.410658883002
Prague_1_2024-03-21,9685.561026573487
Prague_1_2024-03-22,11691.138301826195
Prague_1_2024-03-23,10261.527037341124
Prague_1_2024-03-24,10039.927080778343
Prague_1_2024-03-25,9717.433870133236
Prague_1_2024-03-26,9235.817786112995
Prague_1_2024-03-27,9077.651230993479
Prague_1_2024-03-28,9608.04230380259
Prague_1_2024-03-29,9111.903498109099
Prague_1_2024-03-30,7304.631120173219
Prague_1_2024-03-31,7183.475276779021
Prague_1_2024-04-01,7286.561378923152
Prague_1_2024-04-02,9732.929770674426
Prague_1_2024-04-03,9573.478058609102
Prague_1_2024-04-04,10409.40650701131
Prague_1_2024-04-05,11905.69071861983
Prague_1_2024-04-06,10199.769243923627
Prague_1_2024-04-07,9914.141716921353
Prague_1_2024-04-08,9684.524348960898
Prague_1_2024-04-09,9779.662727023622
Prague_1_2024-04-10,9635.392336817884
Prague_1_2024-04-11,10340.465594995694
Prague_1_2024-04-12,11876.235040091546
Prague_1_2024-04-13,10433.45296235199
Prague_1_2024-04-14,10430.874413973468
Prague_1_2024-04-15,9944.993030730042
Prague_1_2024-04-16,9627.446942083123
Prague_1_2024-04-17,9484.395771579093
Prague_1_2024-04-18,9871.933412643044
Prague_1_2024-04-19,11641.912130366325
Prague_1_2024-04-20,10098.663963557405
Prague_1_2024-04-21,10066.346034694132
Prague_1_2024-04-22,9778.245699489293
Prague_1_2024-04-23,9332.66560372205
Prague_1_2024-04-24,9176.015411207278
Prague_1_2024-04-25,9651.719227561947
Prague_1_2024-04-26,11456.71366316266
Prague_1_2024-04-27,9970.525840375807
Prague_1_2024-04-28,9858.257274098694
Prague_1_2024-04-29,9604.45914314686
Prague_1_2024-04-30,8940.159937532077
Prague_1_2024-05-01,8209.578920150101
Prague_1_2024-05-02,9819.496363205571
Prague_1_2024-05-03,11241.29311588076
Prague_1_2024-05-04,9780.247632335098
Prague_1_2024-05-05,9749.571655675973
Prague_1_2024-05-06,9781.064943791967
Prague_1_2024-05-07,9472.788378607034
Prague_1_2024-05-08,9026.358944271971
Prague_1_2024-05-09,10075.17232920204
Prague_1_2024-05-10,11519.54747624843
Prague_1_2024-05-11,10037.092240377844
Prague_1_2024-05-12,10007.201818778572
Prague_1_2024-05-13,10007.281373880107
Prague_1_2024-05-14,9642.899517897582
Prague_1_2024-05-15,9407.210265505333
Brno_1_2024-03-16,9376.282688946387
Brno_1_2024-03-17,8434.078465804858
Brno_1_2024-03-18,8244.70399829105
Brno_1_2024-03-19,8360.844703150418
Brno_1_2024-03-20,8307.127533650313
Brno_1_2024-03-21,8613.235094478372
Brno_1_2024-03-22,10494.881687219502
Brno_1_2024-03-23,9195.27604418299
Brno_1_2024-03-24,8299.586429007839
Brno_1_2024-03-25,8150.775110964858
Brno_1_2024-03-26,8271.265912571776
Brno_1_2024-03-27,8184.264104332924
Brno_1_2024-03-28,8553.360193961333
Brno_1_2024-03-29,8555.381242648209
Brno_1_2024-03-30,6899.997216356653
Brno_1_2024-03-31,6191.224846997356
Brno_1_2024-04-01,6223.283483868425
Brno_1_2024-04-02,8399.80245134454
